
     Id                     Tag
0              80                    flex
1              80          actionscript-3
2              80                     air
3              90                     svn
4              90             tortoisesvn
5              90                  branch
6              90   branching-and-merging
7             120                     sql
8             120                 asp.net
9             120                 sitemap
10            180               algorithm
11            180       language-agnostic
12            180                  colors
13            180             color-space
14            260                      c#
15            260                    .net
16            260               scripting
17            260   compiler-construction
18            330                     c++
19            330                     oop
20            330                   class
21            330            nested-class
22            470                    .net
23            470            web-services
24            580              sql-server
25            580         sql-server-2005
26            580              deployment
27            580      release-management
28            650                      c#
29            650           visual-studio


74	2120	sql	
75	2120	sql-server	
76	2250	c#	
77	2250	dataset	
78	2250	datatable	
79	2300	asp-classic	
80	2300	vbscript	
81	2530	html	
82	2530	autocomplete	
83	2540	c	
84	2540	architecture	
85	2540	data-structures	
86	2550	asp.net	
87	2550	flash	
88	2550	video	
89	2550	embed	
90	2630	powershell	
91	2630	cmdlets	
92	2750	optimization	
93	2750	setter	
94	2750	getter	
95	2750	verification	
96	2770	winforms	
97	2770	error-handling	
98	2770	user-controls	
99	2780	c#	
100	2780	colors	
101	2840	sql	
102	2840	sql-server-2005	
103	2840	paging	
104	2900	php	
105	2900	mysql	
106	2970	security	
107	2970	cracking	
108	2970	hijacked	
109	3150	c++	
110	3150	visual-studio	
111	3150	unit-testing	
112	3150	testing	
113	3180	fogbugz	
114	3230	c++	
115	3230	visual-studio	
116	3260	algorithm	
117	3260	language-agnostic	
118	3400	sql-server	

286	10610	regex	
287	10670	c#	
288	10670	.net-3.5	
289	10670	.net-2.0	
290	10670	remoting	
291	10670	rpc	
292	10680	c	
293	10680	linux	
294	10810	c#	
295	10810	winforms	
296	10810	authorization	
297	10810	adam	
298	10810	azman	
299	10860	.net	
300	10860	n-tier	
301	10870	actionscript-3	
302	10870	flex	
303	10870	drag-and-drop	
304	10880	c++	
305	10880	emacs	
306	10980	java	
307	10980	.net	
308	10980	ikvm	
309	10980	gnu-classpath	
310	10990	php	
311	10990	apache	
312	10990	upload	
313	11060	c++	
314	11060	python	
315	11060	unit-testing	
316	11060	code-generation	
317	11060	swig	
318	11200	tsql	
319	11200	sqlite	
320	11200	date	
321	11330	c	
322	11330	architecture	
323	11330	pointers	
324	11430	sql-server	
325	11430	sql-server-2008	
326	11460	.net	
327	11460	asp.net	
328	11460	iis	
329	11500	asp.net	
330	11500	ajax	

3750964  40143010                    ajax
3750965  40143070                 haskell
3750966  40143070                   types
3750967  40143070  functional-programming
3750968  40143070                    agda
3750969  40143070         lambda-calculus
3750970  40143110                 android
3750971  40143110        android-activity
3750972  40143110       android-lifecycle
3750973  40143140        spring-data-rest
3750974  40143150              javascript
3750975  40143150                 youtube
3750976  40143150      youtube-iframe-api
3750977  40143170                 laravel
3750978  40143170                 binding
3750979  40143170                   model
3750980  40143170                  routes
3750981  40143190                  python
3750982  40143190                    bash
3750983  40143190               multiline
3750984  40143210                     php
3750985  40143210               .htaccess
3750986  40143300         google-bigquery
3750987  40143340                 android
3750988  40143340          android-studio
3750989  40143360              javascript
3750990  40143360                  vue.js
3750991  40143380                     npm
3750992  40143380                   mocha
3750993  40143380                   babel
 
 


